,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
214,215,@zanuri111,"""Sumpah sekarang aku respect banget sama kamu""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,,sumpah respect,"['sumpah', 'respect']"
215,216,@jannah.henna,"""Menurutku pribadi, dia tulus minta maafnya.""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,,turut pribadi tulus maaf,"['turut', 'pribadi', 'tulus', 'maaf']"
216,217,@26cc.l,"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",Bullying,20 Maret 2020,@eeericko,,,kasih bidadari mau boneka santet,"['kasih', 'bidadari', 'mau', 'boneka', 'santet']"
217,218,@lidiii.lyy16,"""Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol""",Non-bullying,20 Maret 2020,@eeericko,,,hilang respect jane setia lu lu main cewek penjara lol,"['hilang', 'respect', 'jane', 'setia', 'lu', 'lu', 'main', 'cewek', 'penjara', 'lol']"
218,219,@frdriko_,"""Hapus ajh ni poto ngk tau malu bgt lu bang""",Non-bullying,20 Maret 2020,@eeericko,,,hapus nih poto enggak tau malu lu bang,"['hapus', 'nih', 'poto', 'enggak', 'tau', 'malu', 'lu', 'bang']"
219,220,@izgraphic,"""Intinya gasuka ajg selama ada listy . Ngrusak suasana""",Bullying,20 Maret 2020,@eeericko,,,inti gasuka ajg listy rusak suasana,"['inti', 'gasuka', 'ajg', 'listy', 'rusak', 'suasana']"
220,221,@agrapranaaaaaa,"""Di foto ini ada 2 anjing dan 1 kontol""",Bullying,20 Maret 2020,@eeericko,,,foto anjing kontol,"['foto', 'anjing', 'kontol']"
221,222,@bilqissiee,"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",Non-bullying,20 Maret 2020,@eeericko,,,kasihan jane tunggu penjara eh tau sakit,"['kasihan', 'jane', 'tunggu', 'penjara', 'eh', 'tau', 'sakit']"
222,223,@candrwijya,"""Puny cewk baik di selingkuhin g ngotak""",Bullying,20 Maret 2020,@eeericko,,,puny cewk selingkuhin enggak ngotak,"['puny', 'cewk', 'selingkuhin', 'enggak', 'ngotak']"
223,224,@yusuf_rafi20,"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",Bullying,20 Maret 2020,@eeericko,,,potong hubung kalo sembeleh orang lanjur kecewa,"['potong', 'hubung', 'kalo', 'sembeleh', 'orang', 'lanjur', 'kecewa']"
224,225,@shinlamanepa,"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",Non-bullying,20 Maret 2020,@eeericko,,,konten putus foto tabi jessica enggak hapus,"['konten', 'putus', 'foto', 'tabi', 'jessica', 'enggak', 'hapus']"
225,226,@ajilpoo_,"""Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih""",Non-bullying,20 Maret 2020,@eeericko,,,makan bikin jes ngehianatin gila,"['makan', 'bikin', 'jes', 'ngehianatin', 'gila']"
226,227,@frdriko_,"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",Non-bullying,20 Maret 2020,@eeericko,,,parah lu bang nama lu rusak narkoba tambah,"['parah', 'lu', 'bang', 'nama', 'lu', 'rusak', 'narkoba', 'tambah']"
227,228,@guardo_purbaa,"""Ini anjing Kok mirip ya sama Erick""",Bullying,20 Maret 2020,@eeericko,,,anjing erick,"['anjing', 'erick']"
228,229,@_ilhammputra,"""Muka Pas""an sok sok an mau sm lonte lo anjing""",Bullying,20 Maret 2020,@eeericko,,,muka an sok sok an lonte lo anjing,"['muka', 'an', 'sok', 'sok', 'an', 'lonte', 'lo', 'anjing']"
229,230,@keylanamira01,"""Lu sama anjingnya, lebih baik anjingnya""",Bullying,20 Maret 2020,@eeericko,,,lu anjing anjing,"['lu', 'anjing', 'anjing']"
230,231,@jeremyya_,"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",Bullying,20 Maret 2020,@eeericko,,,ih babi pegang tuh anjing harga lo,"['ih', 'babi', 'pegang', 'tuh', 'anjing', 'harga', 'lo']"
231,232,@lukmanul.16,"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",Non-bullying,20 Maret 2020,@eeericko,,,santuy bang enggak tanggepin btw suka gaya lo,"['santuy', 'bang', 'enggak', 'tanggepin', 'btw', 'suka', 'gaya', 'lo']"
232,233,@allyv_zkrri,"""Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego""",Bullying,20 Maret 2020,@eeericko,,,narkoboy kontol main cewek sakit lu anjing mati lu bego,"['narkoboy', 'kontol', 'main', 'cewek', 'sakit', 'lu', 'anjing', 'mati', 'lu', 'bego']"
233,234,@kirananti1,"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",Bullying,20 Maret 2020,@eeericko,,,penjara ajg susah lo,"['penjara', 'ajg', 'susah', 'lo']"
234,235,@hijabmurah.reseller,"""cewe cakep, setia kok disia sia in sahabat""",Non-bullying,20 Maret 2020,@eeericko,,,cewek cakep setia sia sia sahabat,"['cewek', 'cakep', 'setia', 'sia', 'sia', 'sahabat']"
235,236,@lesyaarr,"""loh kok ak liatnya anjing semua yaa""",Bullying,20 Maret 2020,@eeericko,,,loh lihat anjing,"['loh', 'lihat', 'anjing']"
236,237,@dian.iswr,"""Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item""",Bullying,20 Maret 2020,@eeericko,,,anjing guys lihat babi item,"['anjing', 'guys', 'lihat', 'babi', 'item']"
237,238,@_mang_agus_,"""Mantan Anjing, eh kebalik anjing mantan""",Bullying,20 Maret 2020,@eeericko,,,mantan anjing eh balik anjing mantan,"['mantan', 'anjing', 'eh', 'balik', 'anjing', 'mantan']"
238,239,@niko_panji.bp,"""Bikin skandal karena kepengen tenar?""",Non-bullying,20 Maret 2020,@eeericko,,,bikin skandal ken tenar,"['bikin', 'skandal', 'ken', 'tenar']"
239,240,@randy.bm_,"""Wiii anjay kapan lagi liat babi megang 2 anjing""",Bullying,20 Maret 2020,@eeericko,,,wi anjay lihat babi pegang anjing,"['wi', 'anjay', 'lihat', 'babi', 'pegang', 'anjing']"
240,241,@vrtma24,"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",Bullying,20 Maret 2020,@eeericko,,,foto babi peluk anjing milik bidadari,"['foto', 'babi', 'peluk', 'anjing', 'milik', 'bidadari']"
241,242,@cyr.yra,"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",Bullying,20 Maret 2020,@eeericko,,,babi enggak nyentuh anjing bidadari kotor,"['babi', 'enggak', 'nyentuh', 'anjing', 'bidadari', 'kotor']"
242,243,@liviarmdhy,"""SESAMA ANJING FOTO DULU YA KAN""",Bullying,20 Maret 2020,@eeericko,,,anjing foto,"['anjing', 'foto']"
243,244,@nayyx_ra,"""potret seorjing memegang anjing kwkw""",Bullying,20 Maret 2020,@eeericko,,,potret seorjing pegang anjing kwkw,"['potret', 'seorjing', 'pegang', 'anjing', 'kwkw']"
244,245,@fckngmelowedtz_,"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",Non-bullying,20 Maret 2020,@eeericko,,,heh hate capek baca,"['heh', 'hate', 'capek', 'baca']"
245,246,@orangejusi,"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",Bullying,20 Maret 2020,@eeericko,,,ganteng anjing eh eh lu enggak anjing anjing setia pantesnya babi hahahaha,"['ganteng', 'anjing', 'eh', 'eh', 'lu', 'enggak', 'anjing', 'anjing', 'setia', 'pantesnya', 'babi', 'hahahaha']"
246,247,@biancapratiwi_,"""kalo lomba sama""an sm babi, babi nya nmr 2""",Bullying,20 Maret 2020,@eeericko,,,kalo lomba an babi babi nomor,"['kalo', 'lomba', 'an', 'babi', 'babi', 'nomor']"
247,248,@eulisriskasbla,"""Si anjing ketika berfoto dengan si anjing""",Bullying,20 Maret 2020,@eeericko,,,anjing foto anjing,"['anjing', 'foto', 'anjing']"
248,249,@alyafdhlh_,"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",Non-bullying,20 Maret 2020,@eeericko,,,kak jessica tunggu setia loh kemarin enggak ngehargain pilih sono,"['kak', 'jessica', 'tunggu', 'setia', 'loh', 'kemarin', 'enggak', 'ngehargain', 'pilih', 'sono']"
249,250,@paris.saintjerman,"""erikontolim manusia babi anak lonte""",Bullying,20 Maret 2020,@eeericko,,,erikontolim manusia babi anak lonte,"['erikontolim', 'manusia', 'babi', 'anak', 'lonte']"
250,251,@alshvfdl,"""HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!""",Non-bullying,20 Maret 2020,@eeericko,,,harga hati wanita tulus nemenin lo,"['harga', 'hati', 'wanita', 'tulus', 'nemenin', 'lo']"
251,252,@umawww_,"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",Non-bullying,20 Maret 2020,@eeericko,,,bagus erick putus jessica erick laku coba lihat jessica,"['bagus', 'erick', 'putus', 'jessica', 'erick', 'laku', 'coba', 'lihat', 'jessica']"
252,253,@immjeafhlvi_,"""Anjing sekarang hebat ya, bisa pake kacamata""",Bullying,20 Maret 2020,@eeericko,,,anjing hebat pakai kacamata,"['anjing', 'hebat', 'pakai', 'kacamata']"
253,254,@syafafalasifah,"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",Non-bullying,20 Maret 2020,@eeericko,,,nasi bubur enggak bentuk kayak,"['nasi', 'bubur', 'enggak', 'bentuk', 'kayak']"
254,255,@ferdiikun,"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",Non-bullying,20 Maret 2020,@eeericko,,,kira hadir bangga,"['kira', 'hadir', 'bangga']"
255,256,@raihan.kh,"""Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg""",Bullying,20 Maret 2020,@eeericko,,,ajg tato ajg,"['ajg', 'tato', 'ajg']"
256,257,@epannalzz,"""dasar orang tua gada akhlak,ngajarin anaknya yang ga bener""",Bullying,20 Maret 2020,@eeericko,,,dasar orang tua enggak akhlak ajar anak enggak,"['dasar', 'orang', 'tua', 'enggak', 'akhlak', 'ajar', 'anak', 'enggak']"
257,258,@kvnsktta,"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",Non-bullying,20 Maret 2020,@eeericko,,,erik jelasin enggak update maaf,"['erik', 'jelasin', 'enggak', 'update', 'maaf']"
258,259,@gilbert_gotardo,"""Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu""",Bullying,20 Maret 2020,@eeericko,,,eh anjing ci jessica lempar lu,"['eh', 'anjing', 'ci', 'jessica', 'lempar', 'lu']"
259,260,@leonardis445,"""guys dr pd comment2 mending unfoll sm unsubscribe aja yaa""",Non-bullying,20 Maret 2020,@eeericko,,,guys comment mending unfol unsubscribe,"['guys', 'comment', 'mending', 'unfol', 'unsubscribe']"
260,261,@qnfkn,"""Babi lagi main ma anjing :)""",Bullying,20 Maret 2020,@eeericko,,,babi main anjing,"['babi', 'main', 'anjing']"
261,262,@njums_0101,"""Dikasi BIDADARI MALAH PILIH BABI""",Bullying,20 Maret 2020,@eeericko,,,kasi bidadari pilih babi,"['kasi', 'bidadari', 'pilih', 'babi']"
262,263,@abrxrr,"""Postingan pertama jg dihujat dong gila netijen""",Non-bullying,20 Maret 2020,@eeericko,,,postingan hujat gila netijen,"['postingan', 'hujat', 'gila', 'netijen']"
263,264,@mosessavero_,"""BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN""",Bullying,20 Maret 2020,@eeericko,,,lihat anjing babi baik,"['lihat', 'anjing', 'babi', 'baik']"
264,265,@kgaadanamany,"""Dikasih bidadari malah milih setan""",Bullying,20 Maret 2020,@eeericko,,,kasih bidadari pilih setan,"['kasih', 'bidadari', 'pilih', 'setan']"
265,266,@amytwbw_y4to3hand,"""Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(""",Non-bullying,20 Maret 2020,@eeericko,,,enggak benci lu bro tingkah lu lenceng,"['enggak', 'benci', 'lu', 'bro', 'tingkah', 'lu', 'lenceng']"
266,267,@nnunnoadrn_,"""SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!""",Bullying,20 Maret 2020,@eeericko,,,sikap mu najis ludah anjing,"['sikap', 'mu', 'najis', 'ludah', 'anjing']"
267,268,@RZIKIILHAM568,"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",Non-bullying,20 Maret 2020,@eeericko,,,anjir nih poto post komen,"['anjir', 'nih', 'poto', 'post', 'komen']"
268,269,@nisauliaaa._,"""kesini cmn mo liat komen aja""",Non-bullying,20 Maret 2020,@eeericko,,,kesini cuman lihat komen,"['kesini', 'cuman', 'lihat', 'komen']"
269,270,@mhmmdtaufik_7,"""Buset hate comment ampe postingan paling bawah""",Non-bullying,20 Maret 2020,@eeericko,,,buset hate comment postingan,"['buset', 'hate', 'comment', 'postingan']"
270,271,@_nia_zzhh,"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",Non-bullying,20 Maret 2020,@eeericko,,,foto upload maret comment jam jam jam,"['foto', 'upload', 'maret', 'comment', 'jam', 'jam', 'jam']"
271,272,@hamdiham_71,"""Pantes banyak utang buat bayar lonte""",Bullying,20 Maret 2020,@eeericko,,,utang bayar lonte,"['utang', 'bayar', 'lonte']"
272,273,@im.timothy_,"""2 3 tutup botol muka lu kek kontol wkwk""",Bullying,20 Maret 2020,@eeericko,,,tutup botol muka lu kayak kontol wkwk,"['tutup', 'botol', 'muka', 'lu', 'kayak', 'kontol', 'wkwk']"
273,274,@callme__riska26,"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",Non-bullying,20 Maret 2020,@eeericko,,,astaga pagi bikin akak komentar netijen omong suka,"['astaga', 'pagi', 'bikin', 'akak', 'komentar', 'netijen', 'omong', 'suka']"
274,275,@kepo.luanjng_,"""Dah lah. Gw capek baca komen kalian""",Non-bullying,20 Maret 2020,@eeericko,,,deh capek baca komen,"['deh', 'capek', 'baca', 'komen']"
275,276,@filsiyiii,"""Keliatan bgt anjingnya ketakutan foto sama dakjal""",Bullying,20 Maret 2020,@eeericko,,,anjing takut foto dakjal,"['anjing', 'takut', 'foto', 'dakjal']"
276,277,@andrydhstywn,"""Astaga ngehujat sampe postingan paling bawah""",Non-bullying,20 Maret 2020,@eeericko,,,astaga hujat postingan,"['astaga', 'hujat', 'postingan']"
277,278,@suka.prihatin,"""Lebih najis elu daripada anjing!""",Bullying,20 Maret 2020,@eeericko,,,najis lu anjing,"['najis', 'lu', 'anjing']"
278,279,@reandraalkautsr_,"""2 ekor anjing dan satu buaya makan jambut""",Bullying,20 Maret 2020,@eeericko,,,ekor anjing buaya makan jambut,"['ekor', 'anjing', 'buaya', 'makan', 'jambut']"
279,280,@ramdhn._.n,"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",Bullying,20 Maret 2020,@eeericko,,,kalo suruh pelihara anjing eric pilih anjing najis najis erick kontol,"['kalo', 'suruh', 'pelihara', 'anjing', 'eric', 'pilih', 'anjing', 'najis', 'najis', 'erick', 'kontol']"
280,281,@rakaakmaall,"""Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol""",Non-bullying,20 Maret 2020,@eeericko,,,kapai ngejudge mikir putus jadi tolol,"['kapai', 'ngejudge', 'mikir', 'putus', 'jadi', 'tolol']"
281,282,@rikaas0805,"""Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu""",Non-bullying,20 Maret 2020,@eeericko,,,harga wanita dekat pria pilih,"['harga', 'wanita', 'dekat', 'pria', 'pilih']"
282,283,@_raibaru19,"""Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada""",Bullying,20 Maret 2020,@eeericko,,,sipat anjing anjing manusia sipat anjing,"['sipat', 'anjing', 'anjing', 'manusia', 'sipat', 'anjing']"
283,284,@rafaelardan_,"""Potret ketika anjing poto dengan setan""",Bullying,20 Maret 2020,@eeericko,,,potret anjing poto setan,"['potret', 'anjing', 'poto', 'setan']"
284,285,@ananddmanangkasi,"""BANTU BEDAINN WOYY MANA ANJING MANA BABI""",Bullying,20 Maret 2020,@eeericko,,,bantu beda woy anjing babi,"['bantu', 'beda', 'woy', 'anjing', 'babi']"
285,286,@aji_0310,"""Udaah woii udahh lu gak kasihan apa. Aku capek ngelike komenan kalian""",Non-bullying,20 Maret 2020,@eeericko,,,udaah woi lu enggak kasihan capek ngelike komentar,"['udaah', 'woi', 'lu', 'enggak', 'kasihan', 'capek', 'ngelike', 'komentar']"
286,287,@gudlukinhmn,"""3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw""",Bullying,20 Maret 2020,@eeericko,,,anjing anjing wujud manusia anjing asli tak wujud aowkwkw,"['anjing', 'anjing', 'wujud', 'manusia', 'anjing', 'asli', 'tak', 'wujud', 'aowkwkw']"
287,288,@trishapermata,"""Kasian gue sama anjingnya dipegang dajjal""",Bullying,20 Maret 2020,@eeericko,,,kasihan anjing pegang dajjal,"['kasihan', 'anjing', 'pegang', 'dajjal']"
288,289,@rizal.saputraa_,"""Kasian anjing nya di pegang babi""",Bullying,20 Maret 2020,@eeericko,,,kasihan anjing pegang babi,"['kasihan', 'anjing', 'pegang', 'babi']"
289,290,@boyvoyej,"""Lo itu kontol gak guna ajg anak dakjal""",Bullying,20 Maret 2020,@eeericko,,,lo kontol enggak ajg anak dakjal,"['lo', 'kontol', 'enggak', 'ajg', 'anak', 'dakjal']"
290,291,@hydir.syptra_24,"""mukak lu lebih buruk daripada anjing lu""",Bullying,20 Maret 2020,@eeericko,,,mukak lu buruk anjing lu,"['mukak', 'lu', 'buruk', 'anjing', 'lu']"
291,292,@ganimhermawan,"""dikasi yang bening malah milih yang dakian""",Bullying,20 Maret 2020,@eeericko,,,kasi bening pilih daki,"['kasi', 'bening', 'pilih', 'daki']"
292,293,@dhirgalambe,"""Mending masuk penjara lagi aja dah seumur hidup""",Bullying,20 Maret 2020,@eeericko,,,mending masuk penjara deh umur hidup,"['mending', 'masuk', 'penjara', 'deh', 'umur', 'hidup']"
293,294,@deksiyan_,"""Kok lbih lucu anjingnya ya ktimbang orangnya""",Bullying,20 Maret 2020,@eeericko,,,lucu anjing ktimbang orang,"['lucu', 'anjing', 'ktimbang', 'orang']"
294,295,@ninini.nt,"""Akhirnya jesica bisa lepas dari kambing hitam ini""",Bullying,20 Maret 2020,@eeericko,,,jesica lepas kambing hitam,"['jesica', 'lepas', 'kambing', 'hitam']"
295,296,@rayyan11079,"""Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah""",Non-bullying,20 Maret 2020,@eeericko,,,maaf bro orang salah salah nasihat tau ubah,"['maaf', 'bro', 'orang', 'salah', 'salah', 'nasihat', 'tau', 'ubah']"
296,297,@delvyanawuu,"""Kasian anjingnya dipeluk sma sampahh""",Bullying,20 Maret 2020,@eeericko,,,kasihan anjing peluk sampah,"['kasihan', 'anjing', 'peluk', 'sampah']"
297,298,@nico_muhammad99,"""Gua kira keluar dari PENJARA bisa berubah""",Non-bullying,20 Maret 2020,@eeericko,,,penjara ubah,"['penjara', 'ubah']"
298,299,@nyanya6300,"""Cintamu hanya sebatas kertas wkwkw enteng bang""",Non-bullying,20 Maret 2020,@eeericko,,,cinta batas kertas wkwkw enteng bang,"['cinta', 'batas', 'kertas', 'wkwkw', 'enteng', 'bang']"
299,300,@shashaan_,"""Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(""",Non-bullying,20 Maret 2020,@eeericko,,,jane respect hilang respect,"['jane', 'respect', 'hilang', 'respect']"
300,301,@moonicagstt,"""udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.""",Bullying,20 Maret 2020,@eeericko,,,nemenin sulit lo selingkuh enggak sangka idola sampah,"['nemenin', 'sulit', 'lo', 'selingkuh', 'enggak', 'sangka', 'idola', 'sampah']"
301,302,@meidika29500,"""Dihujat habis""an semua postingan lama ada komen baru wkwk""",Non-bullying,20 Maret 2020,@eeericko,,,hujat habis an postingan komen wkwk,"['hujat', 'habis', 'an', 'postingan', 'komen', 'wkwk']"
302,303,@eeeannisa,"""Gua gabisa bedain mana anjing mana manusia, keliatannya sama""",Bullying,20 Maret 2020,@eeericko,,,enggak beda anjing manusia,"['enggak', 'beda', 'anjing', 'manusia']"
303,304,@_abiyyuatha,"""Lu mirip anaknya kick andy yg namanya marlo bang""",Non-bullying,26 Maret 2020,@eeericko,,,lu anak kick andy nama marlo bang,"['lu', 'anak', 'kick', 'andy', 'nama', 'marlo', 'bang']"
304,305,@gevin.reski,"""Kenapa ada orang baik ? Karna ada orang jahat""",Non-bullying,26 Maret 2020,@eeericko,,,orang orang jahat,"['orang', 'orang', 'jahat']"
305,306,@elgistazmn,"""Ngga ada niatan ngadain pengajian gitu bang?""",Non-bullying,26 Maret 2020,@eeericko,,,enggak niat ada aji bang,"['enggak', 'niat', 'ada', 'aji', 'bang']"
306,307,@destiatnrr_,"""Suka banget sama rambutnyaa tambah ganteng""",Non-bullying,26 Maret 2020,@eeericko,,,suka rambut ganteng,"['suka', 'rambut', 'ganteng']"
307,308,@seedflyy,"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",Bullying,26 Maret 2020,@eeericko,,,kayak bilang king king muka kayak tahi musang,"['kayak', 'bilang', 'king', 'king', 'muka', 'kayak', 'tahi', 'musang']"
308,309,@lanzx.ml,"""Ninggalin berlian demi tai babi dih""",Bullying,26 Maret 2020,@eeericko,,,tinggal berlian tahi babi dih,"['tinggal', 'berlian', 'tahi', 'babi', 'dih']"
309,310,@hafizdonjuan,"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",Bullying,26 Maret 2020,@eeericko,,,ganteng kagak lu kayak daki kontol,"['ganteng', 'kagak', 'lu', 'kayak', 'daki', 'kontol']"
310,311,@aliffprmanaa,"""Mukak lo kayak tapir kuda asu sok ganteng banget lo""",Bullying,26 Maret 2020,@eeericko,,,mukak lo kayak tapir kuda asu sok ganteng lo,"['mukak', 'lo', 'kayak', 'tapir', 'kuda', 'asu', 'sok', 'ganteng', 'lo']"
311,312,@anjuketaren,"""Banyak yg kecewa karena lu begini rik!!!!""",Non-bullying,26 Maret 2020,@eeericko,,,kecewa lu rik,"['kecewa', 'lu', 'rik']"
312,313,@maymichelle99,"""Maap yemuke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",Bullying,26 Maret 2020,@eeericko,,,maaf ye muka lu jelek kagak sok selingkuh cakep anjing noh,"['maaf', 'ye', 'muka', 'lu', 'jelek', 'kagak', 'sok', 'selingkuh', 'cakep', 'anjing', 'noh']"
313,314,@ekoxapriyanto,"""Apa si hebatnya banci yg badannya penuh koreng kaya lo""",Bullying,26 Maret 2020,@eeericko,,,hebat banci badan penuh koreng kayak lo,"['hebat', 'banci', 'badan', 'penuh', 'koreng', 'kayak', 'lo']"
314,315,@zorgiansyah,"""Gini dong bersihan kaga kek tahun tahun sebelumnya dekil""",Bullying,26 Maret 2020,@eeericko,,,sih kagak kayak dekil,"['sih', 'kagak', 'kayak', 'dekil']"
315,316,@anisazaharaf,"""Muka lu keriput kek aki aki""",Bullying,26 Maret 2020,@eeericko,,,muka lu keriput kayak aki aki,"['muka', 'lu', 'keriput', 'kayak', 'aki', 'aki']"
316,317,@wijaya_stanleyp9,"""Foto jelek dihujat, foto ganteng dibilang sok ganteng""",Non-bullying,26 Maret 2020,@eeericko,,,foto jelek hujat foto ganteng bilang sok ganteng,"['foto', 'jelek', 'hujat', 'foto', 'ganteng', 'bilang', 'sok', 'ganteng']"
317,318,@rejabiann,"""kebanyakan nyabu jadi kurus lu""",Bullying,28 Maret 2020,@eeericko,,,banyak nyabu kurus lu,"['banyak', 'nyabu', 'kurus', 'lu']"
318,319,@robilmlna,"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",Bullying,28 Maret 2020,@eeericko,,,narkoboy keluar lidah ajg tes urin,"['narkoboy', 'keluar', 'lidah', 'ajg', 'tes', 'urin']"
319,320,@evan_01_,"""Fotolu pede anjrit muka lu tu anjrit""",Bullying,28 Maret 2020,@eeericko,,,fotolu percaya anjrit muka lu anjrit,"['fotolu', 'percaya', 'anjrit', 'muka', 'lu', 'anjrit']"
320,321,@ahmd_yahdi,"""Hidup itu jngn keterlaluan boss playboy amat ajg luu""",Bullying,28 Maret 2020,@eeericko,,,hidup bos playboy ajg lu,"['hidup', 'bos', 'playboy', 'ajg', 'lu']"
321,322,@xxyszx,"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",Bullying,28 Maret 2020,@eeericko,,,mukalu kayak aktor bokep bgst mending ngobat lu,"['mukalu', 'kayak', 'aktor', 'bokep', 'bgst', 'mending', 'ngobat', 'lu']"
322,323,@regitaaeh,"""dah jelek semangattt pulak WKWK""",Bullying,28 Maret 2020,@eeericko,,,deh jelek semangat wkwk,"['deh', 'jelek', 'semangat', 'wkwk']"
323,324,@retfyfiani,"""Muka nya kok gitu, seren bikin mual liatnya""",Bullying,28 Maret 2020,@eeericko,,,muka seren bikin mual lihat,"['muka', 'seren', 'bikin', 'mual', 'lihat']"
324,325,@riotw35,"""Sana anjing ngewe ama lonte bangsat""",Bullying,28 Maret 2020,@eeericko,,,anjing ngewe lonte bangsat,"['anjing', 'ngewe', 'lonte', 'bangsat']"
325,326,@squad_nihh_boss_official,"""Muka kek kontol mending di penjara""",Bullying,28 Maret 2020,@eeericko,,,muka kayak kontol mending penjara,"['muka', 'kayak', 'kontol', 'mending', 'penjara']"
326,327,@adeliaa_azka,"""muka kek banci dih najis""",Bullying,28 Maret 2020,@eeericko,,,muka kayak banci dih najis,"['muka', 'kayak', 'banci', 'dih', 'najis']"
327,328,@nandadzrizkia,"""Ntar Mati dalam keadaan konyol""",Bullying,28 Maret 2020,@eeericko,,,entar mati konyol,"['entar', 'mati', 'konyol']"
328,329,@lrp_by_nexttime,"""mau bilang jelek nya ga enak hehe """,Bullying,28 Maret 2020,@eeericko,,,bilang jelek enggak enak hehe,"['bilang', 'jelek', 'enggak', 'enak', 'hehe']"
329,330,@aowkaowkaowk__,"""Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat""",Bullying,28 Maret 2020,@eeericko,,,idih pantesan foto keluar lidah kayak tukang jilat,"['idih', 'pantesan', 'foto', 'keluar', 'lidah', 'kayak', 'tukang', 'jilat']"
330,331,@your667_,"""NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2""",Bullying,28 Maret 2020,@eeericko,,,nih orang kalo lomba babi babi juara,"['nih', 'orang', 'kalo', 'lomba', 'babi', 'babi', 'juara']"
331,332,@farahh.fh,"""Titisan dakjal emg lo nyet""",Bullying,28 Maret 2020,@eeericko,,,titis dakjal lo monyet,"['titis', 'dakjal', 'lo', 'monyet']"
